Benchmark                                                  (impl)       (payloadType)  (seed)  (size)        (workload)    Mode     Cnt         Score        Error  Units
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505    2000              COPY  sample  667388      9431.836 ±     43.690  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505    2000          CONTAINS  sample  888642        23.261 ±      0.083  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505  200000          POPULATE  sample    4969   5029043.906 ±  23413.982  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505  200000       ITERATE_KEY  sample   20073   1244569.182 ±   2528.322  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505  200000  ITERATE_KEYVALUE  sample   11765   2123908.820 ±   6411.447  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505  200000              COPY  sample    9861   2533716.399 ±   8480.685  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505  200000          CONTAINS  sample  689265        34.776 ±      0.188  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505      20          POPULATE  sample  645583        52.890 ±      0.350  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505      20       ITERATE_KEY  sample  825826        29.563 ±      0.240  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505      20  ITERATE_KEYVALUE  sample  843099        71.088 ±      0.213  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505      20              COPY  sample  953272        68.386 ±      4.772  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505      20          CONTAINS  sample  892003        23.175 ±      0.157  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505    2000          POPULATE  sample  511629     12323.490 ±     67.346  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505    2000       ITERATE_KEY  sample  804428      7772.956 ±      3.044  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505    2000  ITERATE_KEYVALUE  sample  533341      5966.646 ±     55.169  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505    2000              COPY  sample  642402      9693.246 ±     35.077  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505    2000          CONTAINS  sample  855837        23.614 ±      0.138  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505  200000          POPULATE  sample    6726   3715978.771 ±  10697.127  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505  200000       ITERATE_KEY  sample   36498    684496.557 ±    708.418  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505  200000  ITERATE_KEYVALUE  sample   22707   1100232.509 ±   2790.514  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505  200000              COPY  sample   14628   1708182.506 ±   4777.565  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505  200000          CONTAINS  sample  632988        33.728 ±      0.395  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505      20          POPULATE  sample  718594        81.909 ±      0.438  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505      20       ITERATE_KEY  sample  990920        35.915 ±      0.086  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505      20  ITERATE_KEYVALUE  sample  504739        66.963 ±     10.085  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505      20              COPY  sample  580615       100.341 ±      7.932  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505      20          CONTAINS  sample  948115        22.724 ±      0.065  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505    2000          POPULATE  sample  566712     22109.088 ±     69.061  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505    2000       ITERATE_KEY  sample  735857      2145.507 ±      0.937  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505    2000  ITERATE_KEYVALUE  sample  618801      5159.011 ±     53.962  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505    2000              COPY  sample  562708     11270.213 ±     72.247  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505    2000          CONTAINS  sample  880492        23.953 ±      1.136  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505  200000          POPULATE  sample    2837   8809443.485 ±  42875.629  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505  200000       ITERATE_KEY  sample   12317   2028631.377 ±  12507.144  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505  200000  ITERATE_KEYVALUE  sample   13125   1904079.511 ±   8436.465  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505  200000              COPY  sample    7962   3138529.391 ±  29498.118  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505  200000          CONTAINS  sample  692723        35.859 ±      0.225  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505      20          POPULATE  sample  720412        85.386 ±      8.277  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505      20       ITERATE_KEY  sample  857369        36.258 ±      0.211  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505      20  ITERATE_KEYVALUE  sample  510763        66.354 ±     10.886  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505      20              COPY  sample  612462       100.121 ±     10.677  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505      20          CONTAINS  sample  901965        24.709 ±      0.072  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505    2000          POPULATE  sample  569233     22021.179 ±     74.016  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505    2000       ITERATE_KEY  sample  744195      2120.621 ±      0.719  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505    2000  ITERATE_KEYVALUE  sample  618044      5148.185 ±     50.945  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505    2000              COPY  sample  575153     10972.816 ±     61.786  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505    2000          CONTAINS  sample  831620        24.007 ±      0.127  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505  200000          POPULATE  sample    4748   5265183.703 ±  22954.331  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505  200000       ITERATE_KEY  sample   22013   1134766.908 ±   3100.811  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505  200000  ITERATE_KEYVALUE  sample   19925   1253791.048 ±   4637.467  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505  200000              COPY  sample   11549   2163408.852 ±   9970.502  ns/op
FastutilMapInt2IntBench.bench             FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505  200000          CONTAINS  sample  653325        33.156 ±      0.252  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505      20          POPULATE  sample  911898       238.050 ±      7.858  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505      20       ITERATE_KEY  sample  977988        52.342 ±      0.091  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505      20  ITERATE_KEYVALUE  sample  868751        49.760 ±      0.264  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505      20              COPY  sample  908559       240.994 ±      7.767  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505      20          CONTAINS  sample  670548        32.458 ±      0.385  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505    2000          POPULATE  sample  282674     44181.448 ±    144.566  ns/op
