Benchmark                                                  (impl)       (payloadType)  (seed)  (size)        (workload)    Mode     Cnt         Score        Error  Units
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505      20          POPULATE  sample  904526        72.115 ±      5.149  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505      20       ITERATE_KEY  sample  797805        68.274 ±      7.861  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505      20  ITERATE_KEYVALUE  sample  744454        32.241 ±      0.298  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505      20              COPY  sample  509872        31.476 ±      9.211  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505      20          CONTAINS  sample  794023        23.950 ±      0.110  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505    2000          POPULATE  sample  449715     14073.858 ±     84.674  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505    2000       ITERATE_KEY  sample  635830      4974.333 ±     37.384  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505    2000  ITERATE_KEYVALUE  sample  827755      1904.530 ±      2.475  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505    2000              COPY  sample  684733      1296.438 ±     55.054  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505    2000          CONTAINS  sample  643902        24.658 ±      0.112  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505  200000          POPULATE  sample    5466   4571957.298 ±  15424.003  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505  200000       ITERATE_KEY  sample   31778    786254.706 ±   1766.694  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505  200000  ITERATE_KEYVALUE  sample   48056    519930.034 ±    550.681  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505  200000              COPY  sample  384844     64881.544 ±    231.245  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505  200000          CONTAINS  sample  597099        42.551 ±      0.388  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505      20          POPULATE  sample  842142        74.637 ±      5.319  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505      20       ITERATE_KEY  sample  506018        65.503 ±      7.999  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505      20  ITERATE_KEYVALUE  sample  700394        32.965 ±      0.139  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505      20              COPY  sample  979660        29.661 ±      4.111  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505      20          CONTAINS  sample  531121        26.886 ±      0.136  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505    2000          POPULATE  sample  433766     14555.459 ±     79.601  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505    2000       ITERATE_KEY  sample  641659      4943.624 ±     39.461  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505    2000  ITERATE_KEYVALUE  sample  827318      1904.333 ±      1.904  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505    2000              COPY  sample  694348      1154.765 ±     24.885  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505    2000          CONTAINS  sample  645607        24.626 ±      0.205  ns/op
