Benchmark                     (impl)      (payloadType)  (size)  (workload)    Mode     Cnt        Score     Error  Units
JDKMapBench.bench      JDKGDXDS_HASH    VECTOR2_UNIFORM    1000     ITERATE  sample  495892    10340.990 ±   4.644  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH     STRING_UNIFORM    1000    POPULATE  sample  254346    39685.193 ± 200.418  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH     STRING_UNIFORM    1000    CONTAINS  sample  435992       50.985 ±   1.383  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH     STRING_UNIFORM    1000        COPY  sample  323057    15827.391 ± 134.354  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH     STRING_UNIFORM    1000     ITERATE  sample  522850     9566.244 ±   3.668  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH    INTEGER_UNIFORM    1000    POPULATE  sample  524499    19145.309 ±  87.033  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH    INTEGER_UNIFORM    1000    CONTAINS  sample  550083       40.956 ±   1.124  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH    INTEGER_UNIFORM    1000        COPY  sample  462792    11008.469 ±  92.316  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH    INTEGER_UNIFORM    1000     ITERATE  sample  528617     9465.901 ±   3.584  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH  STRING_DICTIONARY    1000    POPULATE  sample  360014    27944.064 ± 131.451  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH  STRING_DICTIONARY    1000    CONTAINS  sample  443409       51.629 ±   1.513  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH  STRING_DICTIONARY    1000        COPY  sample  338576    15044.974 ± 118.094  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH  STRING_DICTIONARY    1000     ITERATE  sample  534385     9363.335 ±   3.624  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH    VECTOR2_UNIFORM    1000    POPULATE  sample  272552    37048.103 ± 194.930  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH    VECTOR2_UNIFORM    1000    CONTAINS  sample  482947       51.636 ±   1.696  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH    VECTOR2_UNIFORM    1000        COPY  sample  583117    17222.735 ±  80.755  ns/op
JDKMapBench.bench  JDKGDXDSBARE_HASH    VECTOR2_UNIFORM    1000     ITERATE  sample  528527     9472.838 ±   3.919  ns/op
