Benchmark                                                  (impl)       (payloadType)  (seed)  (size)        (workload)    Mode     Cnt         Score        Error  Units
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505      20          POPULATE  sample  896724        69.892 ±      0.343  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505      20       ITERATE_KEY  sample  522803        63.394 ±     10.859  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505      20  ITERATE_KEYVALUE  sample  759515        32.215 ±      0.136  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505      20              COPY  sample  508612        32.648 ±      8.877  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505      20          CONTAINS  sample  763278        24.023 ±      0.269  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505    2000          POPULATE  sample  452996     13929.704 ±     75.896  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505    2000       ITERATE_KEY  sample  638786      4942.201 ±     33.555  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505    2000  ITERATE_KEYVALUE  sample  831854      1895.282 ±      2.524  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505    2000              COPY  sample  689672      1195.241 ±     35.475  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505    2000          CONTAINS  sample  630931        24.548 ±      0.146  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505  200000          POPULATE  sample    5504   4540295.442 ±  13979.615  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505  200000       ITERATE_KEY  sample   31734    787355.162 ±   2085.988  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505  200000  ITERATE_KEYVALUE  sample   48190    518475.158 ±    649.463  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505  200000              COPY  sample  386276     64640.706 ±    229.367  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505  200000          CONTAINS  sample  615304        42.371 ±      0.307  ns/op
