Benchmarking with GRIDPOINT2_UNIFORM payload, which means it uses a sequence of very dense (x,y) points starting at the origin and spiraling outward.
This uses a load factor of 0.75f, which is 25-50% higher than recommended for FlipMap. It still does extremely well!

Benchmark                               (impl)       (payloadType)  (percentageRangeKeys)  (seed)  (size)  (workload)    Mode      Cnt          Score        Error  Units
JDKMapBench.bench                 JDK_O2O_HASH  GRIDPOINT2_UNIFORM                    100  467505    1000        COPY  sample  1447056      13118.779 ±     50.779  ns/op
JDKMapBench.bench                 JDK_O2O_HASH  GRIDPOINT2_UNIFORM                    100  467505    1000     ITERATE  sample  2354336       7993.099 ±     16.984  ns/op
JDKMapBench.bench                 JDK_O2O_HASH  GRIDPOINT2_UNIFORM                    100  467505   10000    POPULATE  sample   338411     221614.996 ±    362.351  ns/op
JDKMapBench.bench                 JDK_O2O_HASH  GRIDPOINT2_UNIFORM                    100  467505   10000    CONTAINS  sample  2447243       1939.696 ±      2.955  ns/op
JDKMapBench.bench                 JDK_O2O_HASH  GRIDPOINT2_UNIFORM                    100  467505   10000        COPY  sample   454636     164847.712 ±    251.584  ns/op
JDKMapBench.bench                 JDK_O2O_HASH  GRIDPOINT2_UNIFORM                    100  467505   10000     ITERATE  sample   960271      78074.917 ±     33.414  ns/op
JDKMapBench.bench                 JDK_O2O_HASH  GRIDPOINT2_UNIFORM                    100  467505  100000    POPULATE  sample     9759    7712981.635 ± 249655.257  ns/op
JDKMapBench.bench                 JDK_O2O_HASH  GRIDPOINT2_UNIFORM                    100  467505  100000    CONTAINS  sample  2281212       4128.159 ±      5.271  ns/op
JDKMapBench.bench                 JDK_O2O_HASH  GRIDPOINT2_UNIFORM                    100  467505  100000        COPY  sample    18664    4024191.396 ± 167617.757  ns/op
JDKMapBench.bench                 JDK_O2O_HASH  GRIDPOINT2_UNIFORM                    100  467505  100000     ITERATE  sample    95657     784618.095 ±   1020.113  ns/op
