Benchmark                                           (impl)   (payloadType)  (percentageRangeKeys)  (seed)  (size)  (workload)    Mode     Cnt        Score      Error  Units
JDKIdentityMapBench.bench                   JDKGDXDS_TOSTR  OBJECT_UNIFORM                    100  467505     100     ITERATE  sample  670887     1225.989 ±    7.666  ns/op
JDKIdentityMapBench.bench                   JDKGDXDS_TOSTR  OBJECT_UNIFORM                    100  467505    1000    POPULATE  sample  225857   110758.251 ±  149.393  ns/op
JDKIdentityMapBench.bench                   JDKGDXDS_TOSTR  OBJECT_UNIFORM                    100  467505    1000    CONTAINS  sample  574955       69.333 ±    2.425  ns/op
JDKIdentityMapBench.bench                   JDKGDXDS_TOSTR  OBJECT_UNIFORM                    100  467505    1000        COPY  sample  299004    41830.276 ±   96.543  ns/op
JDKIdentityMapBench.bench                   JDKGDXDS_TOSTR  OBJECT_UNIFORM                    100  467505    1000     ITERATE  sample  525130    11913.342 ±   11.558  ns/op
JDKIdentityMapBench.bench                   JDKGDXDS_TOSTR  OBJECT_UNIFORM                    100  467505   10000    POPULATE  sample   33963   736877.552 ± 1590.348  ns/op
JDKIdentityMapBench.bench                   JDKGDXDS_TOSTR  OBJECT_UNIFORM                    100  467505   10000    CONTAINS  sample  691380      106.330 ±    1.866  ns/op
JDKIdentityMapBench.bench                   JDKGDXDS_TOSTR  OBJECT_UNIFORM                    100  467505   10000        COPY  sample   50696   493779.633 ±  960.931  ns/op
JDKIdentityMapBench.bench                   JDKGDXDS_TOSTR  OBJECT_UNIFORM                    100  467505   10000     ITERATE  sample  220016   113619.500 ±   97.954  ns/op
JDKIdentityMapBench.bench                JDKGDXDS_IDENTITY  OBJECT_UNIFORM                    100  467505     100    POPULATE  sample  835030     1886.391 ±   16.470  ns/op
JDKIdentityMapBench.bench                JDKGDXDS_IDENTITY  OBJECT_UNIFORM                    100  467505     100    CONTAINS  sample  818976       80.665 ±    1.604  ns/op
JDKIdentityMapBench.bench                JDKGDXDS_IDENTITY  OBJECT_UNIFORM                    100  467505     100        COPY  sample  534253     1470.817 ±   22.054  ns/op
JDKIdentityMapBench.bench                JDKGDXDS_IDENTITY  OBJECT_UNIFORM                    100  467505     100     ITERATE  sample  757260     1092.039 ±    3.183  ns/op
JDKIdentityMapBench.bench                JDKGDXDS_IDENTITY  OBJECT_UNIFORM                    100  467505    1000    POPULATE  sample  575263    21770.394 ±   70.179  ns/op
JDKIdentityMapBench.bench                JDKGDXDS_IDENTITY  OBJECT_UNIFORM                    100  467505    1000    CONTAINS  sample  621653       91.088 ±    9.228  ns/op
JDKIdentityMapBench.bench                JDKGDXDS_IDENTITY  OBJECT_UNIFORM                    100  467505    1000        COPY  sample  393372    16052.792 ±   91.759  ns/op
JDKIdentityMapBench.bench                JDKGDXDS_IDENTITY  OBJECT_UNIFORM                    100  467505    1000     ITERATE  sample  543863    11501.236 ±   13.173  ns/op
JDKIdentityMapBench.bench                JDKGDXDS_IDENTITY  OBJECT_UNIFORM                    100  467505   10000    POPULATE  sample   52195   479482.355 ± 1095.529  ns/op
JDKIdentityMapBench.bench                JDKGDXDS_IDENTITY  OBJECT_UNIFORM                    100  467505   10000    CONTAINS  sample  518551      103.853 ±    2.931  ns/op
JDKIdentityMapBench.bench                JDKGDXDS_IDENTITY  OBJECT_UNIFORM                    100  467505   10000        COPY  sample   77496   322926.558 ±  653.082  ns/op
JDKIdentityMapBench.bench                JDKGDXDS_IDENTITY  OBJECT_UNIFORM                    100  467505   10000     ITERATE  sample  135083   185180.750 ±  207.792  ns/op

Older results that didn't actually test the main new thing, JDKGDXDS_TOSTR:

Benchmark                                           (impl)   (payloadType)  (percentageRangeKeys)  (seed)  (size)  (workload)    Mode     Cnt        Score     Error  Units
JDKIdentityMapBench.bench                     JDK_O2O_HASH  OBJECT_UNIFORM                    100  467505     100    POPULATE  sample  864901     1682.592 ±  27.052  ns/op
JDKIdentityMapBench.bench                     JDK_O2O_HASH  OBJECT_UNIFORM                    100  467505     100    CONTAINS  sample  701562       84.756 ±   1.552  ns/op
JDKIdentityMapBench.bench                     JDK_O2O_HASH  OBJECT_UNIFORM                    100  467505     100        COPY  sample  665835     1212.041 ±  23.093  ns/op
JDKIdentityMapBench.bench                     JDK_O2O_HASH  OBJECT_UNIFORM                    100  467505     100     ITERATE  sample  950533      881.613 ±   2.949  ns/op
JDKIdentityMapBench.bench                     JDK_O2O_HASH  OBJECT_UNIFORM                    100  467505    1000    POPULATE  sample  629525    19890.612 ±  72.130  ns/op
JDKIdentityMapBench.bench                     JDK_O2O_HASH  OBJECT_UNIFORM                    100  467505    1000    CONTAINS  sample  596596       93.988 ±   1.844  ns/op
JDKIdentityMapBench.bench                     JDK_O2O_HASH  OBJECT_UNIFORM                    100  467505    1000        COPY  sample  494042    12724.194 ±  70.165  ns/op
JDKIdentityMapBench.bench                     JDK_O2O_HASH  OBJECT_UNIFORM                    100  467505    1000     ITERATE  sample  832094     7521.593 ±   9.786  ns/op
JDKIdentityMapBench.bench                     JDK_O2O_HASH  OBJECT_UNIFORM                    100  467505   10000    POPULATE  sample   78914   317120.339 ± 743.470  ns/op
JDKIdentityMapBench.bench                     JDK_O2O_HASH  OBJECT_UNIFORM                    100  467505   10000    CONTAINS  sample  685808      120.699 ±   2.388  ns/op
JDKIdentityMapBench.bench                     JDK_O2O_HASH  OBJECT_UNIFORM                    100  467505   10000        COPY  sample  119283   209574.853 ± 517.975  ns/op
JDKIdentityMapBench.bench                     JDK_O2O_HASH  OBJECT_UNIFORM                    100  467505   10000     ITERATE  sample  148685   168258.212 ± 147.550  ns/op
JDKIdentityMapBench.bench                 JDK_O2O_IDENTITY  OBJECT_UNIFORM                    100  467505     100    POPULATE  sample  694743     2298.356 ±  30.044  ns/op
JDKIdentityMapBench.bench                 JDK_O2O_IDENTITY  OBJECT_UNIFORM                    100  467505     100    CONTAINS  sample  751528       81.880 ±   1.200  ns/op
