Note first that FLIP_HASH is broken here, which I only realized much later. It wasn't inserting any keys, just values.

Benchmark                                   (impl)    (payloadType)  (percentageRangeKeys)  (seed)  (size)  (workload)    Mode      Cnt         Score        Error  Units
JDKMapBench.bench                     JDK_O2O_HASH  VECTOR2_UNIFORM                    100  467505   10000    CONTAINS  sample  2813075      1690.747 ±      3.094  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  VECTOR2_UNIFORM                    100  467505   10000        COPY  sample   298333    251587.881 ±    396.624  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  VECTOR2_UNIFORM                    100  467505   10000     ITERATE  sample   454340    165043.967 ±     98.854  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  VECTOR2_UNIFORM                    100  467505  100000    POPULATE  sample     6637  11336157.980 ± 396656.917  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  VECTOR2_UNIFORM                    100  467505  100000    CONTAINS  sample  1856729      3391.586 ±      6.332  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  VECTOR2_UNIFORM                    100  467505  100000        COPY  sample    18395   4087835.388 ± 178481.282  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  VECTOR2_UNIFORM                    100  467505  100000     ITERATE  sample    43142   1740600.336 ±   2727.257  ns/op
JDKMapBench.bench                FASTUTIL_O2O_HASH  VECTOR2_UNIFORM                    100  467505     100    POPULATE  sample  1796663      2690.168 ±     23.178  ns/op
JDKMapBench.bench                FASTUTIL_O2O_HASH  VECTOR2_UNIFORM                    100  467505     100    CONTAINS  sample  2257615      1061.201 ±      2.272  ns/op
JDKMapBench.bench                FASTUTIL_O2O_HASH  VECTOR2_UNIFORM                    100  467505     100        COPY  sample  1584928      1632.000 ±     17.698  ns/op
JDKMapBench.bench                FASTUTIL_O2O_HASH  VECTOR2_UNIFORM                    100  467505     100     ITERATE  sample  2138351      1145.259 ±     13.050  ns/op
JDKMapBench.bench                FASTUTIL_O2O_HASH  VECTOR2_UNIFORM                    100  467505    1000    POPULATE  sample  1162607     32338.541 ±     57.835  ns/op
JDKMapBench.bench                FASTUTIL_O2O_HASH  VECTOR2_UNIFORM                    100  467505    1000    CONTAINS  sample  2506323       956.649 ±      2.052  ns/op
JDKMapBench.bench                FASTUTIL_O2O_HASH  VECTOR2_UNIFORM                    100  467505    1000        COPY  sample  2102350     17885.145 ±     38.004  ns/op
